"Product Name","Price","Unity","Location","Time","Store Name","Delivery"
"Kaspersky Professionnel","1 000","DA","Alger centre, 16","il y a 1 jour","",""
"Watercooling DeepCool LE720 360mm 250w tdp sous blister","32 000","DA","Hussein dey, 16","il y a 1 jour","",""
"ECRAN Matos MSG32 Curved Full HD Monitor 32 pouces, 165Hz, 2ms","49 900","DA","Dar el beida, 16","il y a environ 11 heures","Informatics","Paiement à la livraison"
"ECRAN ASUS ProArt 4K ULTRA-HD IPS PA279CRV 27 POUCES","135 000","DA","Dar el beida, 16","il y a environ 11 heures","Informatics","Paiement à la livraison"
"ECRAN ASUS ProArt 2K WQHD IPS PA278CV 27 POUCES","99 000","DA","Dar el beida, 16","il y a environ 11 heures","Informatics","Paiement à la livraison"
"Samsung Odyssey G3 24 FHD 165HZ 1ms Rotatif","35 400","DA","Dar el beida, 16","il y a environ 11 heures","Informatics","Paiement à la livraison"
"ECRAN DAHUA 27 FHD IPS 100HZ LM27-B201S","25 500","DA","Dar el beida, 16","il y a environ 11 heures","Informatics","Paiement à la livraison"
"PLATEFORME ERP AVEC PLUSIEURS MODULES DE LA GESTION ENTREPRISE","","","Oued smar, 16","il y a 1 jour","",""
"licences office 2021 professionnel plus","800","DA","Bab ezzouar, 16","il y a 1 jour","",""
"Ecran ASUS TUF Gaming VG249Q3A  IPS 24 POUCES 180HZ 1MS FHD","35 900","DA","Dar el beida, 16","il y a environ 11 heures","Informatics","Paiement à la livraison"
"ECRAN AOC 27G4E 27 POUCES Fast IPS 180Hz 0.5ms","42 000","DA","Dar el beida, 16","il y a environ 11 heures","Informatics","Paiement à la livraison"
"ECRAN ROG Strix XG49VQ 49 Super Ultra-Wide HDR Gaming Monitor  144Hz","229 000","DA","Dar el beida, 16","il y a environ 11 heures","Informatics","Paiement à la livraison"
"ASUS 24"" IPS 100HZ VA24EHF","23 900","DA","Dar el beida, 16","il y a environ 11 heures","Informatics","Paiement à la livraison"
