"Product Name","Price","Unity","Location","Time","Store Name","Delivery"
"HP 15 Core i3-1115G4/8Go/256Go SSD/Ecran 15.6"" HD/Intel UHD Graphics/Clavier AZE...","79 900","DA","Hydra, 16","il y a environ 12 heures","AlgerPC.COM",""
"Ruban Transfert Thermique","","","Birkhadem, 16","il y a environ 12 heures","Etiquette Algérie",""
"Ruban Dateur videojet","","","Birkhadem, 16","il y a environ 12 heures","Etiquette Algérie",""
"étiquettes code barre","","","Birkhadem, 16","il y a environ 12 heures","Etiquette Algérie",""
"Data Tdraveler DUO 32GB type - A + type - C","2 000","DA","Birkhadem, 16","il y a 2 jours","",""
"Microsoft Windows/office/serveur/exchange/Visio & MICROSOFT 365","1","DA","Ben aknoun, 16","il y a 2 jours","",""
"RUBAN THERMIQUE","","","Birkhadem, 16","il y a environ 12 heures","Etiquette Algérie",""
"imprimante étiquette inventaire","","","Birkhadem, 16","il y a environ 12 heures","Etiquette Algérie",""
"Etiquettes code barre, étiquettes caisse, étiquettes autocollantes,","","","Birkhadem, 16","il y a environ 12 heures","Etiquette Algérie",""
"imprimante vignette pharmaceutique","","","Birkhadem, 16","il y a environ 12 heures","Etiquette Algérie",""
"FELLOWES Powershred P-25S Strip-Cut Shredder","10 200","DA","Mohammadia, 16","il y a environ 12 heures","UPSCALE MEDIA","Paiement à la livraison"
"Toner Compatible Canon 716/731/HP125A","1 500","DA","Rouiba, 16","il y a 2 jours","",""
"Cpl TP link","23 000","DA","Ain benian, 16","il y a 2 jours","",""
"PROMO PRIX CHOC Imprimante TICKET  DE CAISSE SMART RP-331","17 900","DA","Bab ezzouar, 16","il y a environ 12 heures","PRO SOLUTION","Paiement à la livraison"
"LECTEUR CODE A BARRE SMART SP-9608","1","DA","Bab ezzouar, 16","il y a environ 12 heures","PRO SOLUTION","Paiement à la livraison"
"LECTEUR CODE A BARRE  SMART SP-8602H","1","DA","Bab ezzouar, 16","il y a environ 12 heures","PRO SOLUTION","Paiement à la livraison"
"NOS LOGICIEL POUR VOS ACTIVITES","1","DA","Bab ezzouar, 16","il y a environ 12 heures","PRO SOLUTION","Paiement à la livraison"
"Logiciel PME PRO GESTION COMMERCIALE ET STOCK + APPLICATION DE DISTRIBUTION","1","DA","Bab ezzouar, 16","il y a environ 12 heures","PRO SOLUTION","Paiement à la livraison"
"Adobe collection","14 200","DA","Alger centre, 16","il y a environ 12 heures","GAMEROOM","Livraison disponible"
"Microsoft : Windows, Office ProPlus, 365, OneDrive, et Outlook Pro","7 800","DA","Alger centre, 16","il y a environ 12 heures","GAMEROOM","Livraison disponible"
"Microsoft : Windows, Office ProPlus, 365, OneDrive, et Outlook Pro","7 800","DA","Alger centre, 16","il y a environ 12 heures","GAMEROOM","Livraison gratuite"
"Lenovo Legion Pro 5 i9 13900HX 16GO RAM 512SSD 16 QHD RTX 4050 06GO JAMAIS UTILI...","278 000","DA","Ain naadja, 16","il y a environ 12 heures","BS INFORMATIQUE مـحل لبيع اجهزة الكمبيوتر",""
"Spirit of Gamer Elite-M20 SANS fill","5 500","DA","Oran, 31","il y a environ 12 heures","CLICK INFORMATIQUE ORAN","Livraison disponible"
"Destructeur de documents Fellowes Powershred LX25 coupe croisée Corbeille 11,5L ...","16 900","DA","Kouba, 16","il y a environ 12 heures","Win Computer","Paiement à la livraison"
"FELLOWES Destructeur Powershred LX50 Coupe Croisée","19 500","DA","Mohammadia, 16","il y a environ 12 heures","UPSCALE MEDIA","Paiement à la livraison"
"Spirit of Gamer Pro-M7","3 500","DA","Oran, 31","il y a environ 12 heures","CLICK INFORMATIQUE ORAN","Livraison disponible"
"Asus Vivobook X409MA Celeron N4020 4Go/1To HDD/Ecran 14"" HD/Intel UHD 600 Graphi...","44 900","DA","Hydra, 16","il y a environ 12 heures","AlgerPC.COM",""
"Anti-virus Kaspersky Endpoint Security","1 000","DA","Birtouta, 16","il y a 2 jours","",""
"ecran data show neuf 1,45/1,45 m .... 2,40/2,40 m ..3/3m 3/3 m motorise..+ suppo...","11","DA","Es senia, 31","il y a 2 jours","",""
"Vente De Matériel GAMING Par Facilité","","","El affroun, 9","il y a environ 12 heures","Mini Informatic",""
"Logiciel de Gestion D'Inventaire et immobilisation Avec Terminal Mobile PDA","1","DA","Alger centre, 16","il y a environ 12 heures","Auradev","Paiement à la livraison"
"Carte graphique par facilité","","","El affroun, 9","il y a environ 12 heures","Mini Informatic",""
"TAMBOUR DRUM LEXMARK C734 C736 C746 C748 X746 C748 X734 X736 X746 X748 ORIGINAL","4","DA","Kouba, 16","il y a environ 12 heures","CMR INFORMATIQUE","Paiement à la livraison"
"COMPTEUSE DE BILLETS","36 000","DA","Dar el beida, 16","il y a environ 12 heures","TifawtTech","Paiement à la livraison"
"Tête & Cartouche HP 11 HP 711 HP 10 HP 82  TRACEUR HP 500 HP 510 HP 800 HP T520","1","DA","Skikda, 21","il y a 2 jours","",""
"Kaspersky Endpoint Security","1 000","DA","Rouiba, 16","il y a 2 jours","",""
"SYNOLOGY BAIE STOCKAGE","1","DA","Said hamdine, 16","il y a environ 12 heures","ADSO-COMPUTER",""
"Dodocool AC750 Point d'accès, répéteur, routeur sans fil double bande","4 900","DA","Birkhadem, 16","il y a environ 12 heures","Destoky","Paiement à la livraison"
"Xerox 7855i multifunction colour","","","Setif, 19","il y a environ 12 heures","AGTEC CANON",""
"CABLE HDMI VGA ORIGINAL HP","1 200","DA","Bordj bou arreridj, 34","il y a environ 12 heures","CompuNerds","Livraison disponible"
"IMPRIMANTE CANON I-SENSYS MF 275 DW","73 500","DA","Draria, 16","il y a environ 12 heures","DIGITAL WORLD TECHNOLOGY","Paiement à la livraison"
"Traceur T830 MFP","1","DA","Staoueli, 16","il y a 2 jours","",""
"Eponge Et Puce De Réinitialisation Canon G2420, G3420 SUPPORT CODE 1726 Cartouch...","1 000","DA","Bordj el bahri, 16","il y a 2 jours","",""
"chargeur apple macbook type c 87w neuf sous emballage,possibilite de facturation","9 900","DA","El biar, 16","il y a environ 12 heures","Alpha Digital","Paiement à la livraison"
"CANON PIXMA G3430","39 000","DA","Ouled yaich, 9","il y a environ 12 heures","Blida Computer & newmob office","Paiement à la livraison"
"chargeur apple macbook type c 61w neuf sous emballage,possibilite facturation","9 900","DA","El biar, 16","il y a environ 12 heures","Alpha Digital","Paiement à la livraison"
"Exchange Server","1","DA","Dar el beida, 16","il y a environ 12 heures","SoftwareBusiness","Paiement à la livraison"
"SSD M2 256 Go NVMe Adata XPG sx600 Lit","","","Blida, 9","il y a environ 12 heures","MacWay Informatique",""
"LG UltraGear 27GS75Q-B 27"" IPS LED 2K 200Hz","89 000","DA","El oued, 39","il y a 2 jours","",""
"Canon Traceur plan","3","DA","Staoueli, 16","il y a 2 jours","",""
"Manette Xbox Serie Remix","18 500","DA","Dar el beida, 16","il y a environ 12 heures","GC STORE","Livraison disponible"
"HAVIT S/F MS965 RGB PROGRAMABLE","3 900","DA","Oran, 31","il y a environ 12 heures","CLICK INFORMATIQUE ORAN","Livraison disponible"
"Lecteur RFID 125KHz USB","1","DA","Birkhadem, 16","il y a environ 12 heures","GHM","Livraison disponible"
"TONER CANON 070 CARTRIDGE BLACK - 3000 PAGES - TECHNOLOGIE D'IMPRESSION LASER - ...","25 500","DA","Hussein dey, 16","il y a environ 12 heures","ADMIN Informatique","Paiement à la livraison"
"Carte RFID 125KHz","1","DA","Birkhadem, 16","il y a environ 12 heures","GHM","Livraison disponible"
"Imprimante matriciel Thomson","10 000","DA","Hammamet, 16","il y a 2 jours","",""
"Lot de onze (11) téléphones IP Avaya 1608-I","5 000","DA","Hammamet, 16","il y a 2 jours","",""
"IMPRIMANTE A BADGES","","","Birkhadem, 16","il y a environ 12 heures","GHM",""
"SPIRIT OF GAMER ELITE-M20","4 800","DA","Oran, 31","il y a environ 12 heures","CLICK INFORMATIQUE ORAN","Livraison disponible"
"IMPRIMANTE MF 3IN1 Epson L3250 WIFI A RESERVOIR COULEUR","37 000","DA","Bab ezzouar, 16","il y a environ 12 heures","ICT Informatique","Paiement à la livraison"
"SOURIS USB SPIRIT OF GAMER ELITE-M10 + TAPIS DE SOURIS","4 300","DA","Oran, 31","il y a environ 12 heures","CLICK INFORMATIQUE ORAN","Livraison disponible"
"HP Victus Gaming 15.6 FHD 144Hz , Ryzen 5 8645HS, 16GB DDR5 RAM, 512GB SSD, NVID...","186 000","DA","Bab ezzouar, 16","il y a environ 12 heures","Kizmo store","Paiement à la livraison"
"ASUS ROG G22CH Gaming PC i7 13th Gen 32GB RAM 1TB SSD NVIDIA RTX 4070 SUPER 12GB...","388 000","DA","Bab ezzouar, 16","il y a environ 12 heures","Kizmo store","Paiement à la livraison"
"SOURIS USB SPIRIT OF GAMER PRO-M4 RGB","2 900","DA","Oran, 31","il y a environ 12 heures","CLICK INFORMATIQUE ORAN","Livraison gratuite"
"IMPRIMANTE CANON PIXMA G2410","29 500","DA","Mohammadia, 16","il y a environ 12 heures","EL ASSLI HI TECH "" Les Pins Maritimes ""","Paiement à la livraison"
"ECRAN DE PROJECTION FOR DATA SHOW MANUEL/TRIPIED/MOTORISE","10 800","DA","Kouba, 16","il y a environ 13 heures","CMR INFORMATIQUE","Paiement à la livraison"
"PC ALL IN ONE ENIGMA EN-238C I5 RAM 4GB/8GB SSD 128GB/256GB/512GB","51 900","DA","Kouba, 16","il y a environ 13 heures","CMR INFORMATIQUE","Paiement à la livraison"
"Logiciel de gestion commercial - Pack Vêtements - Chaussures - Lingerie","1","DA","Alger centre, 16","il y a environ 13 heures","Auradev","Paiement à la livraison"
"CHARGEUR ASUS 19.5V/9.23A 180WH ORIGINAL FICHE PIN / TOSHIBA","4","DA","Kouba, 16","il y a environ 13 heures","CMR INFORMATIQUE","Paiement à la livraison"
"TONER CANON 057 COMPATIBLE / ORIGINAL","4","DA","Kouba, 16","il y a environ 13 heures","CMR INFORMATIQUE","Paiement à la livraison"
"Desktop Dell OptiPlex 3000 Core i5-12500/8Go/512Go SSD/Windows 10 Pro","93 900","DA","Hydra, 16","il y a environ 13 heures","AlgerPC.COM",""
"IPBX Avaya IP Office IP500v2","1","DA","Hammamet, 16","il y a 2 jours","",""
"CPE210","","","Dar el beida, 16","il y a 2 jours","",""
"Desktop Dell OptiPlex 3000 Core i3-12100/8Go/512Go SSD/Windows 10 Pro","74 900","DA","Hydra, 16","il y a environ 13 heures","AlgerPC.COM",""
"TONER EPSON EPL6200 ORIGINAL","4","DA","Kouba, 16","il y a environ 13 heures","CMR INFORMATIQUE","Paiement à la livraison"
"TÊTE D'IMPRESSION HP 727/732 POUR TRACEUR T900/T1600/T2500/T2600/T3500/T3500 ORI...","4","DA","Kouba, 16","il y a environ 13 heures","CMR INFORMATIQUE","Paiement à la livraison"
"TONER HP 13X ORIGINAL","4","DA","Kouba, 16","il y a environ 13 heures","CMR INFORMATIQUE","Paiement à la livraison"
"TETE D'IMPRESSION CANON PF04 POUR iPF830 iPF840 iPF780 iPF785 iPF770 iPF685 iPF6...","4","DA","Kouba, 16","il y a environ 13 heures","CMR INFORMATIQUE","Paiement à la livraison"
"Nvidia RTX 3060 12GB BIOSTAR","66 500","DA","Khemis el khechna, 35","il y a 2 jours","",""
"HDD 2TB et 4TB pour dvr, nvr, xvr","13 000","DA","Ziama mansouriah, 18","il y a 2 jours","",""
"BATTERIE LENOVO L13S4A01 B50-80 B50-70 HIGH COPY","4","DA","Kouba, 16","il y a environ 13 heures","CMR INFORMATIQUE","Paiement à la livraison"
"BATTERIE HP CC03XL 830 G7 G8 840 G7 G8 850 G7 G8 ZBOOK 14 15 G7 G8 ORIGINAL","4","DA","Kouba, 16","il y a environ 13 heures","CMR INFORMATIQUE","Paiement à la livraison"
"BATTERIE LENOVO T480S 01AV480 L17M3P72 L17M3P71 ORIGINAL","4","DA","Kouba, 16","il y a environ 13 heures","CMR INFORMATIQUE","Paiement à la livraison"
"ECRAN LENOVO 27 POUCES L27E-30 FHD/IPS 75HZ 4MS VGA / HDMI NEW GAMING","44 500","DA","Kouba, 16","il y a environ 13 heures","CMR INFORMATIQUE","Paiement à la livraison"
"ECRAN ACER 27 POUCES EK271 FHD/IPS 100Hz 1MS HDMI / VGA GAMING","39 900","DA","Kouba, 16","il y a environ 13 heures","CMR INFORMATIQUE","Paiement à la livraison"
"imprimante canon pixma MG2540S","12 000","DA","Sidi bel abbes, 22","il y a 2 jours","",""
"pack clavier souris steelseries","17 500","DA","Mila, 43","il y a 2 jours","",""
"CHARGEUR ACER 19.5V 11.8A 230WH FICHE ROUGE","4","DA","Kouba, 16","il y a environ 13 heures","CMR INFORMATIQUE","Paiement à la livraison"
"WASTE TONER CONTAINER - BAC A DECHETS XEROX WORKCENTRE 7120 7125 7220 7225 7220i...","4","DA","Kouba, 16","il y a environ 13 heures","CMR INFORMATIQUE","Paiement à la livraison"
"PACK DE CARTOUCHE HP 727 NOIR + 05 COULEUR ORIGINAL","4","DA","Kouba, 16","il y a environ 13 heures","CMR INFORMATIQUE","Paiement à la livraison"
"LENOVO THINKPAD X13 YOGA I5 12TH 16GB 256SSD 13.3"" TACTILE X360 NEUF SOUS EMBALA...","138 000","DA","Bab ezzouar, 16","il y a environ 13 heures","DEYSTORE","Paiement à la livraison"
"DELL LATITUDE 9330 2IN1 Core i7-1260U, 16GB 1TB 13.3'' TACTILE X360","199 000","DA","Bab ezzouar, 16","il y a environ 13 heures","DEYSTORE","Paiement à la livraison"
"ASUS RT-AX58 v2 Router AX3000 Wi-Fi 6 + Routeur","30 000","DA","Mila, 43","il y a 2 jours","",""
"onduleur","3 500","DA","Alger centre, 16","il y a 2 jours","",""
"DELL LATITUDE 7430 NEUF  CORE I7-12TH 32GB 256SSD  14*","179 000","DA","Bab ezzouar, 16","il y a environ 13 heures","DEYSTORE","Paiement à la livraison"
"LENOVO THINKPAD E16  i5-13TH 16 GB 256 SSD 16'' NEUF","164 000","DA","Bab ezzouar, 16","il y a environ 13 heures","DEYSTORE","Paiement à la livraison"
"IMPRIMANTE MULTIFONCTION BROTHER DCP-T220 3EN1 RÉSERVOIR INTÉGRÉ","28 900","DA","Kouba, 16","il y a environ 13 heures","CMR INFORMATIQUE","Paiement à la livraison"
"Fax panasonic 988 original neuf (Gros et détail)","70 000","DA","Dar el beida, 16","il y a environ 13 heures","Snc BIGLOBE","Paiement à la livraison"
"IMPRIMANTE MULTIFONCTION CANON MF461DW / MF463DW / MF465DW 40PPM LASER / WIFI / ...","101 000","DA","Kouba, 16","il y a environ 13 heures","CMR INFORMATIQUE","Paiement à la livraison"
"Ryzen 5 8600G Wraith Stealth","48 000","DA","Douera, 16","il y a 2 jours","",""
"SSD DAHUA C800A SATA 512GB","7 200","DA","Khemis el khechna, 35","il y a 2 jours","",""
"Asus Vivobook X415EP i5-1135G7/16Go/512Go SSD/14""HD/NVIDIA GForce MX330 2Go GDDR...","104 900","DA","Hydra, 16","il y a environ 13 heures","AlgerPC.COM",""
"TABLE PHOTOCOPIEUR CANON IR 2425 ET C3226 MDF - LOCAL","","","Douera, 16","il y a environ 13 heures","CCS Informatique",""
"ACER 550W 80+BRONZE FULL MODULAIR BLACK","7 500","DA","Oran, 31","il y a environ 13 heures","CLICK INFORMATIQUE ORAN","Livraison disponible"
"imprimante matricielle epson fx-2190 neuf + carte réseau","145 000","DA","Ouled yaich, 9","il y a environ 13 heures","Blida Computer & newmob office","Paiement à la livraison"
"Armoire de brassage et serveur réseaux","30 500","DA","Ouled yaich, 9","il y a environ 13 heures","Blida Computer & newmob office","Paiement à la livraison"
"STATION D ACCUEIL USB 2.0 2.5"" 3.5"" 2 HDD IDE/STA + SD USB3.0 S8","4 700","DA","Blida, 9","il y a environ 13 heures","MacWay Informatique",""
"Lenovo ideapad 3 15IAU7 i 3-1215U 04-256","88 000","DA","El harrach, 16","il y a environ 13 heures","البصائر للإتصالات",""
"Tiroir caisse  SMART POS","","","Dar el beida, 16","il y a environ 13 heures","TifawtTech",""
"ECRAN AOC U27V4 - 27 INCH 4K - IPS - 3840 X 2160 UHD - HDR MODE - 3 SIDE FRAMLES...","62 500","DA","Hussein dey, 16","il y a environ 13 heures","ADMIN Informatique","Paiement à la livraison"
"All In One Dell Inspiron 24 5400 Core i7-1165G7/32Go/1To+256SSD/24"" FHD/GeForce ...","239 900","DA","Hydra, 16","il y a environ 13 heures","AlgerPC.COM",""
"canon pixma g3410","38 500","DA","El harrach, 16","il y a environ 13 heures","EL ASSLI HI TECH "" Les Pins Maritimes ""","Paiement à la livraison"
"HP OMEN 16 i9-13900HX 1TB 16GB DDR5 RTX 4060 8GB NEUF JAMAIS UTILISE","296 000","DA","Boufarik, 9","il y a environ 13 heures","DBPhone",""
"HP VICTUS GAMING 15 AMD Ryzen 5 8645HS 512GB 8GB RTX 4050 6GB","174 000","DA","Boufarik, 9","il y a environ 13 heures","DBPhone",""
"Stylos sérigraphie tactile 3en1 support pour Telephone","52","DA","Kouba, 16","il y a environ 13 heures","Krea.gift","Paiement à la livraison"
"Microphone Sans-Fil","8 500","DA","Alger centre, 16","il y a 2 jours","",""
"Voltage Regulator APC Line-R 1200w","12 000","DA","Zeralda, 16","il y a 2 jours","",""
"IMPRIMANTE CANON LASER i-SENSYS MF3010","54 500","DA","El harrach, 16","il y a environ 13 heures","EL ASSLI HI TECH "" Les Pins Maritimes ""","Paiement à la livraison"
"LENOVO IDEAPAD 3 I3 12TH 4GB 256SSD 15.6","77 000","DA","Bab ezzouar, 16","il y a environ 13 heures","DEYSTORE","Paiement à la livraison"
"Ruban thermique dateur videojet domino","","","Birkhadem, 16","il y a environ 13 heures","LabelPack  Etiquettes  & Transfert Thermique",""
"imprimante code barre industrielle","","","Birkhadem, 16","il y a environ 13 heures","LabelPack  Etiquettes  & Transfert Thermique",""
"Ruban Transfert Thermique Inkanto","","","Birkhadem, 16","il y a environ 13 heures","LabelPack  Etiquettes  & Transfert Thermique",""
"PC GAMER MSI LGA1700 DDR5 i3-14100f rx 580 8gb","135 900","DA","Guelma, 24","il y a 2 jours","",""
"Macbook pro neuf 2023 ram 36 Go 1tb ssd m3 pro 11 cores","47","DA","Constantine, 25","il y a 2 jours","",""
"Imprimante etiquette & vignette","","","Birkhadem, 16","il y a environ 13 heures","LabelPack  Etiquettes  & Transfert Thermique",""
"FILAIRE USB SPIRIT OF GAMER PRO-M8","2 900","DA","Oran, 31","il y a environ 13 heures","CLICK INFORMATIQUE ORAN","Livraison gratuite"
"Ruban transfert thermique zebra","","","Birkhadem, 16","il y a environ 13 heures","Barcode Systems",""
"Zebra , Godex , TSC ,videojet , Domino","","","Birkhadem, 16","il y a environ 13 heures","Barcode Systems",""
"Imprimante industriel etiquette","","","Birkhadem, 16","il y a environ 13 heures","Barcode Systems",""
"Cusu ssd sata 240GB/120gb","3 800","DA","El oued, 39","il y a 2 jours","",""
"boitier antec dp 501","1","DA","Bou saada, 28","il y a 2 jours","",""
"IMPRIMANTE CANON I-SENSYS LBP 6030","43 500","DA","El harrach, 16","il y a environ 13 heures","EL ASSLI HI TECH "" Les Pins Maritimes ""","Paiement à la livraison"
"PHILIPS M344 ANYWHERE WIRELESS PORTABILITIY","2 300","DA","Oran, 31","il y a environ 13 heures","CLICK INFORMATIQUE ORAN","Livraison gratuite"
"Spirit Of Gamer PRO-M6","3 200","DA","Oran, 31","il y a environ 13 heures","CLICK INFORMATIQUE ORAN","Livraison disponible"
"Toner // cartouche // consommable informatique // Original et compatible","","","Bouzareah, 16","il y a environ 13 heures","PAPDISPLAY",""
"Imprimante industriel Zebra ZT410 /420","","","Birkhadem, 16","il y a environ 13 heures","Zebra Algerie",""
"CASQUE GAMER RAZER BLACKSHARK V2 X 7.1 ( PC / CONSOL )","9 400","DA","Ouled fayet, 16","il y a 2 jours","",""
"Boîte De Maintenance T04d1 EPSON M1140 M1170 M2140 M2170 M3140 M3170 L6160 L6170...","1","DA","Bordj el bahri, 16","il y a 2 jours","",""
"LAPTOP HP 15/LENOVO V15 CELERON N4020 / 1TB / RAM DDR4 4GB ECRAN 15.6","49 500","DA","Kouba, 16","il y a environ 13 heures","CMR INFORMATIQUE","Paiement à la livraison"
"BATTERIE DELL INSPIRON 15 WDX0R 42 WH HIGH COPY / ORIGINAL","4","DA","Kouba, 16","il y a environ 13 heures","CMR INFORMATIQUE","Paiement à la livraison"
"TONER CANON C-EXV33 COMPATIBLE / ORIGINAL","13 000","DA","Kouba, 16","il y a environ 13 heures","CMR INFORMATIQUE","Paiement à la livraison"
"DISQUE DUR EXTERNE 1TB/2TB/4TB/16TB USB 3.2/3.1/3.0/2.0","4","DA","Kouba, 16","il y a environ 13 heures","CMR INFORMATIQUE","Paiement à la livraison"
"PACK TONER XEROX WORKCENTRE 7830 / 7835 / 7845 / 7855 NOIR + 03 COULEUR ORIGINAL...","4","DA","Kouba, 16","il y a environ 13 heures","CMR INFORMATIQUE","Livraison disponible"
"Flash disk Kingston","2 700","DA","Ain taya, 16","il y a 2 jours","",""
"HP flash disk type c","3 500","DA","Ain taya, 16","il y a 2 jours","",""
"IMPRIMANTE CANON LBP631CW / LBP-633CDW COULEUR LASER WIFI","4","DA","Kouba, 16","il y a environ 13 heures","CMR INFORMATIQUE","Paiement à la livraison"
"BLUETOOTH UGREEN 5.3 USB ADAPTATEUR FOR PC/ CONSOLE/ MANETTE","3 500","DA","Kouba, 16","il y a environ 13 heures","CMR INFORMATIQUE","Paiement à la livraison"
"ECRAN MAXIPOWER FHD 1MS/2MS/5MS 60HZ/75HZ ULTRAPANEL HDMI VGA FOR GAMING 19/22/2...","14 500","DA","Kouba, 16","il y a environ 13 heures","CMR INFORMATIQUE","Paiement à la livraison"
"PACK DE TONER CANON 067 NOIR + 03 COULEUR COMPATIBLE / ORIGINAL","4","DA","Kouba, 16","il y a environ 13 heures","CMR INFORMATIQUE","Paiement à la livraison"
"TONER CANON 435A/285A/436A/78A/CRG725/CRG728 COMPATIBLE / ORIGINAL","1 490","DA","Kouba, 16","il y a environ 13 heures","CMR INFORMATIQUE","Paiement à la livraison"
"PACK TONER CANON 045 NOIR + 03 COULEURS COMPATIBLE / ORIGINAL","4","DA","Kouba, 16","il y a environ 13 heures","CMR INFORMATIQUE","Paiement à la livraison"
"IMPRIMANTE CANON LBP6030 + TONER CANON 85A","42 000","DA","Kouba, 16","il y a environ 13 heures","CMR INFORMATIQUE","Paiement à la livraison"
"IMPRIMANTE MULTIFONCTION CANON G3430/G3410 COULEUR / PHOTOCOPIE / SCANNER / WIFI...","36 500","DA","Kouba, 16","il y a environ 13 heures","CMR INFORMATIQUE","Paiement à la livraison"
"PACK TONER CANON C-EXV49 NOIR + 03 COULEUR COMPATIBLE / ORIGINAL","4","DA","Kouba, 16","il y a environ 13 heures","CMR INFORMATIQUE","Paiement à la livraison"
"TONER XEROX WC5325/5330/5335 ORIGINAL","4","DA","Kouba, 16","il y a environ 13 heures","CMR INFORMATIQUE","Paiement à la livraison"
"TÊTE D'IMPRESSION HP 713 POUR TRACEUR T210/230/T250/T630/T650 ORIGINAL","4","DA","Kouba, 16","il y a environ 13 heures","CMR INFORMATIQUE","Paiement à la livraison"
"CARTOUCHE HP 21 22 NOIR + COULEURS COMPATIBLE","4","DA","Kouba, 16","il y a environ 13 heures","CMR INFORMATIQUE","Paiement à la livraison"
"BATTERIE LENOVO L15L4A02 IDEAPAD V110 HIGH COPY","4","DA","Kouba, 16","il y a environ 13 heures","CMR INFORMATIQUE","Paiement à la livraison"
"PHOTOCOPIEUR MULTIFUNCTION CANON IR2224 A3 / A4 24PPM","112 000","DA","Kouba, 16","il y a environ 13 heures","CMR INFORMATIQUE","Paiement à la livraison"
"Carte graphique georforce 4090","450 000","DA","Setif, 19","il y a 2 jours","",""
"Dell inspiron 15 3520 2eme génération","13 500","DA","Es senia, 31","il y a 2 jours","",""
"ECRAN DELL 27 POUCES SE2722H FHD/LED 75HZ 4MS VGA / HDMI NEW GAMING","48 500","DA","Kouba, 16","il y a environ 13 heures","CMR INFORMATIQUE","Paiement à la livraison"
"ECRAN HP 27 POUCES V27I FHD/IPS 75HZ 5MS VGA / HDMI NEW","47 500","DA","Kouba, 16","il y a environ 13 heures","CMR INFORMATIQUE","Paiement à la livraison"
"IMPRIMANTE MULTIFONCTION LASER CANON LBP122DW 29PPM RECTO-VERSO WIFI","49 500","DA","Kouba, 16","il y a environ 13 heures","CMR INFORMATIQUE","Paiement à la livraison"
"IMPRIMANTE MULTIFONCTION LASER CANON MF272DW 29PPM RECTO-VERSO / WIFI","67 000","DA","Kouba, 16","il y a environ 13 heures","CMR INFORMATIQUE","Paiement à la livraison"
"DISQUE DUR HDD EXTERNE 2.5 SEAGATE BASIC 4TB USB 3.0","26 500","DA","Kouba, 16","il y a environ 13 heures","CMR INFORMATIQUE","Paiement à la livraison"
"SSD Teamgroup","5 500","DA","Djelida, 44","il y a 2 jours","",""
"ATTACK SHARK R1 Wireless Gaming Mouse","5 900","DA","Ouled fayet, 16","il y a 2 jours","",""
"CHARGEUR ASUS 20V 14A 280WH FICHE PIN ORIGINAL","4","DA","Kouba, 16","il y a environ 13 heures","CMR INFORMATIQUE","Paiement à la livraison"
"SCANNER CANON ImageFORMULA DR-C225 II PROFESSIONAL USB 2.0","4","DA","Kouba, 16","il y a environ 13 heures","CMR INFORMATIQUE","Paiement à la livraison"
"Imprimante Canon i-sensys MF465dw Multifonction/Monochrome/A4/Tonner/wifi/","109 900","DA","Hydra, 16","il y a environ 13 heures","AlgerPC.COM",""
"DESKTOP LENOVO THINKCENTRE 50T I3-12100 16GB RAM / HDD 1TB / ECRAN L22-40 POUCES...","4","DA","Kouba, 16","il y a environ 13 heures","CMR INFORMATIQUE","Paiement à la livraison"
"TONER XEROX B1025 B1022 COMPATIBLE","4","DA","Kouba, 16","il y a environ 13 heures","CMR INFORMATIQUE","Paiement à la livraison"
"تلمسان","1 900","DA","Tlemcen, 13","il y a 2 jours","",""
"Vente Comptoir","8 000","DA","Kouba, 16","il y a 2 jours","",""
"Mini DataShow Smart Tactile 4k WIFI Bluetooth Android","43 000","DA","Bachdjerrah, 16","il y a environ 13 heures","MASTER DATASHOW","Paiement à la livraison"
"Pointeuse zkteco MB10 Faciale","29 600","DA","Kouba, 16","il y a environ 13 heures","Infotel Technology Systems","Paiement à la livraison"
"Imprimante Epson EcoTank L6570 Multifonction/Couleur/Réservoir d'encre/Connectiv...","168 900","DA","Hydra, 16","il y a environ 13 heures","AlgerPC.COM",""
"Disque dur 1Tb/2Tb/4Tb","","","Setif, 19","il y a environ 13 heures","AGTEC CANON",""
"CARTE MERE MSI MPG Z790 CARBON WIFI INTEL CORE LIGHTNING GEN 5 DDR5","99 900","DA","Oran, 31","il y a environ 13 heures","CLICK INFORMATIQUE ORAN","Livraison disponible"
"Imprimante","","","Chetouane, 13","il y a 2 jours","",""
"Lot Materiel Informatique neuf","230 000","DA","Kouba, 16","il y a 2 jours","",""
"chargeur apple magesafe 2 45w neuf sous emballage , possibilite de facturation","7 500","DA","El biar, 16","il y a environ 13 heures","Alpha Digital","Paiement à la livraison"
"Imprimante Canon PIXMA IX6840","68 000","DA","Ouled yaich, 9","il y a environ 13 heures","Blida Computer & newmob office","Paiement à la livraison"
"Imprimante EcoTank Epson L3210","38 500","DA","Blida, 9","il y a environ 13 heures","MacWay Informatique",""
"PC Portable HP i3-11emme generation","84 000","DA","Blida, 9","il y a environ 13 heures","MacWay Informatique",""
"Lecteur Code à Barre Scanner DATALOGIC","","","Dar el beida, 16","il y a environ 13 heures","TifawtTech",""
"Data show EPSON EB-FH52 WIFI/HDMI -4000 LUMENS FULL HD","148 000","DA","Boumerdes, 35","il y a 2 jours","",""
"CRUCIAL DDR3L 1600MHZ","2 500","DA","Tipaza, 42","il y a 2 jours","",""
