"Product Name","Price","Unity","Location","Time","Store Name"
"LAPTOP LENOVO THINK PAD E480 I5 8EME GEN / 8GB / 256GB SSD / 14''-LENOVO (bon ét...","54 000","DA","Cheraga, 16","il y a 2 jours","AB Tech Services Informatiques"
"Dell latitude 5400","47 000","DA","Ain smara, 25","il y a 1 jour",""
"مجلدات موسوعة القدس","7 000","DA","Alger centre, 16","il y a 1 jour",""
"Manette SONY PS5 DualSense volcanic Red","15 500","DA","Dar el beida, 16","il y a 2 jours","GC STORE"
"DISQUE HP 600-GB 6G 15K 3.5 DP SAS","39 900","DA","Cheraga, 16","il y a 2 jours","SARL CH INFORMATIQUE"
"HP DL380 G5 CPU XEON 2X E5-5450 / RAM 10GB / PSU 2X 1000WATTS / HDD 2X 72GB  4X ...","200 000","DA","Cheraga, 16","il y a 2 jours","SARL CH INFORMATIQUE"
"CARTE GRAPHIQUE ASUS ROG STRIX GAMING RTX 4070TI 12GB OC","223 000","DA","Bouira, 10","il y a 2 jours","City store technologie bouira"
"LENOVO THINKPAD L14 Gen | i5 12eme | Ram 16Go | SSD 256Go | Écran 14 FHD | Clavi...","89 000","DA","Boumerdes, 35","il y a 2 jours","High Tech Boumerdes"
"Lenovo ThinkPad x280  i5-8350U 16Go","45 000","DA","Ain benian, 16","il y a 1 jour",""
"Logiciel de gestion de cabinet dentaire","","","Ain fetah, 13","il y a 1 jour",""
"LENOVO THINKPAD X1 | i5 7eme | RAM 16Go | SSD 512Go | Écran 14 FHD Tactile Conve...","52 000","DA","Boumerdes, 35","il y a 2 jours","High Tech Boumerdes"
"LAPTOP HP ELITEBOOK 830 G7 | i5 10ème | RAM 16Go | SSD 512Go |Écran 14 FHD Tacti...","70 000","DA","Boumerdes, 35","il y a 2 jours","High Tech Boumerdes"
"LENOVO THINKPAD T14s | RYZEN 5 Pro 4650U | RAM 8Go | SSD 256Go | Écran 14 FHD | ...","63 500","DA","Boumerdes, 35","il y a 2 jours","High Tech Boumerdes"
"TONER PHOTOCOPIEUR CANON ORIGINAL","","","Douera, 16","il y a 2 jours","CCS Informatique"
"HP Probook 450 G7 i7 10510u 8Go 256Go SSD","102 000","DA","Mostaganem, 27","il y a 2 jours","Mus Phone"
"TABLETTE GRAPHIC WACOM INTUOS PRO MEDIUM","37 000","DA","Biskra, 7","il y a 1 jour",""
"NVIDIA tesla P100","1","DA","Chevalley, 16","il y a 1 jour",""
"Scanner EPSON DS-1630","","","Hussein dey, 16","il y a 2 jours","DMS INFORMATIQUE"
"Rouleaux papier ECG","","","Bouzareah, 16","il y a 2 jours","PAPDISPLAY"
"Souris sans fil Logitech M190","3 300","DA","Blida, 9","il y a 2 jours","MacWay Informatique"
"MINI UC HP ELITE DESK 800 i5 7eme 8Go-256Go + chargeur","39 800","DA","Kouba, 16","il y a 2 jours","Kouba Computer"
"LENOVO THINKPAD E15 I7 12eme 16gb/512gb IRIS XE","125 000","DA","Bab ezzouar, 16","il y a 2 jours","Eternel Store"
"Imprimante Numérique grand format","1","DA","Alger centre, 16","il y a 1 jour",""
"HP PROBOOK 440 G9 14 ""i5 1235U 16GB/256GB","89 000","DA","Tipaza, 42","il y a 1 jour",""
"HP Pavilion X360 2in1 i5 1335U 16G 512 SSD 14"" Full HD X360 Tactile","128 000","DA","Bab ezzouar, 16","il y a 2 jours","ShiftTech Informatique"
"LG GRAM 16Z90R i7 1360P 32G DDR5 1T SSD 16"" 2K","147 000","DA","Bab ezzouar, 16","il y a 2 jours","ShiftTech Informatique"
"Acer Swift 5 i7 8550U 8G 256 SSD 14"" FHD Tactile","67 000","DA","Bab ezzouar, 16","il y a 2 jours","ShiftTech Informatique"
"Asus VivoBook X413E i5 1135G7 8G 512 SSD Nvme 14"" Full HD","79 000","DA","Bab ezzouar, 16","il y a 2 jours","ShiftTech Informatique"
"HP EliteBook 640 G10 i5 1345U 16G 512 SSD 14"" Full HD Tactile Neuf","150 000","DA","Bab ezzouar, 16","il y a 2 jours","ShiftTech Informatique"
"HP ProDesk 800 G3 i5 i5 7500 8G 256 SSD","53 000","DA","Bab ezzouar, 16","il y a 2 jours","ShiftTech Informatique"
"Lenovo Thinkpad X395 Ryzen 5 Pro 3500U 8G 256 SSD Vega 8 2G 13.3"" Full HD","58 000","DA","Bab ezzouar, 16","il y a 2 jours","ShiftTech Informatique"
"Dell Latitude 5420 i5 1135G7 16G 256 SSD 14"" Full HD","80 000","DA","Bab ezzouar, 16","il y a 2 jours","ShiftTech Informatique"
"HP ProBook 650 G5 i5 8365U 16 G 256 SSD 15.6"" Full HD","62 000","DA","Bab ezzouar, 16","il y a 2 jours","ShiftTech Informatique"
"Toner LEXMARK E260","3 500","DA","Bir el djir, 31","il y a 2 jours","VIDA TECHNOLOGY"
"Toner CF259A compatible 59A 057 KOANAN","3 500","DA","Bir el djir, 31","il y a 2 jours","VIDA TECHNOLOGY"
"TONER LASER COMPATIBLE CANON C-EXV42","2 100","","Sidi chami, 31","il y a 2 jours","VIDA TECHNOLOGY"
"DISQUE IBM 146-GB 15K 2.5 SHS SAS","10 900","DA","Cheraga, 16","il y a 2 jours","SARL CH INFORMATIQUE"
"Photocopieur A3 Canon iR2425i Avec ADF","255 000","DA","Mohammadia, 16","il y a 2 jours","AM Computer"
"Lenovo idea pad1","","","Bordj el kiffan, 16","il y a 1 jour",""
"les cartes mères pc portable","1","DA","Bab ezzouar, 16","il y a 1 jour",""
"Lenovo thinkpad E15 i5 1135G7 RAM 8GB 256ssd écran 15.6 FUL HD","75 000","DA","Ain naadja, 16","il y a 2 jours","BS INFORMATIQUE مـحل لبيع اجهزة الكمبيوتر"
"HP ProBook 470 G3 I3 6th 8GB 256GB SSD FHD AMD RADEON M340","39 000","DA","Bab ezzouar, 16","il y a 2 jours","TRETEC"
"LENOVO THINKPAD P15V I7 12eme 32gb/512gb NVIDIA RTX A2000","188 000","DA","Bab ezzouar, 16","il y a 2 jours","Eternel Store"
"HP LAPTOP 17 RYZEN 7 5700U  16GB 512GB SSD 17 FHD","87 000","DA","Bab ezzouar, 16","il y a 2 jours","TRETEC"
"HP PROBOOK 430 G8 I5 11th 8GB 256GB SSD FHD 14""","74 000","DA","Bab ezzouar, 16","il y a 2 jours","TRETEC"
"DELL LATITUDE 7320 I7 11th 16GB 512GB SSD FHD 13""","89 000","DA","Bab ezzouar, 16","il y a 2 jours","TRETEC"
"LAPTOP LENOVO THINKPAD L14 I5-1145 G7 16GB 256GB SSD 14""FHD","79 000","DA","Bab ezzouar, 16","il y a 2 jours","ELITE COMPUTER"
"DELL LATITUDE 7330 I5 12th 16GB 256GB SSD FHD 13""","87 000","DA","Bab ezzouar, 16","il y a 2 jours","TRETEC"
"DELL LATITUDE 7430 I5 12th 16GB 256GB SSD FHD 14""","99 000","DA","Bab ezzouar, 16","il y a 2 jours","TRETEC"
"DELL VOSTRO 3420 I5 12th 16GB 512GB SSD FHD 14""","88 000","DA","Bab ezzouar, 16","il y a 2 jours","TRETEC"
"ONDULEUR 10 KVA TRIPHASÉ","1 234","DA","Ouled yaich, 9","il y a 2 jours","Blida Computer & newmob office"
"Serveur hp ml350 Gen 10 4210 32G 1.2Tb","660 000","DA","Ouled yaich, 9","il y a 2 jours","Blida Computer & newmob office"
"MICROSOFT SURFACE BOOK I7 6th 16GB 512GB GeForce 3K DETACHABLE 15""","42 000","DA","Bab ezzouar, 16","il y a 2 jours","TRETEC"
"APPLE MACBOOK PRO 2019 I7 16GB 512GB SSD 2K 13"" TOUCHBAR","175 000","DA","Bab ezzouar, 16","il y a 2 jours","TRETEC"
"Lot de 8 Laptops occasion","130 000","DA","Kouba, 16","il y a 1 jour",""
"DELL XPS 9370 CASS","","","Mila, 43","il y a 1 jour",""
"Papier thermique","230","DA","Larbaa, 9","il y a 2 jours","being"
"ASUS NOTEBOOK G551J I7 4th 12GB 512GB SSD FHD 15""","69 000","DA","Bab ezzouar, 16","il y a 2 jours","TRETEC"
"LENOVO LEGION 5  I7 11th 16 GB 1TB RTX 3060 6GB FHD 15""","188 000","DA","Bab ezzouar, 16","il y a 3 jours","TRETEC"
"imprimante ticket  smartpos SP-80180","","","Dar el beida, 16","il y a 3 jours","TifawtTech"
"HP ENVY LAPTOP 17 I7 13th 16GB 1TB SSD RTX 3050 FHD 17"" TACTILE","179 000","DA","Bab ezzouar, 16","il y a 3 jours","TRETEC"
"Écrans d'Affichage LED Intérieurs et Extérieurs","","","Bir mourad rais, 16","il y a 3 jours","SOSETEL"
"Unité de contrôle Cisco Touch 10","","","Bir mourad rais, 16","il y a 3 jours","SOSETEL"
"Logitech WIRELESS TOUCH KEYBOARD K400 PLUS","","","Bir mourad rais, 16","il y a 3 jours","SOSETEL"
"Logiciel visioconférence Trueconf","","","Bir mourad rais, 16","il y a 3 jours","SOSETEL"
"BCC950","","","Bir mourad rais, 16","il y a 3 jours","SOSETEL"
"Support Motorisé A-52","","","Bir mourad rais, 16","il y a 3 jours","SOSETEL"
"Logitech GROUP","195 000","","Bir mourad rais, 16","il y a 3 jours","SOSETEL"
"C920","","","Bir mourad rais, 16","il y a 3 jours","SOSETEL"
"CABLE HDMI 1.4V 1080P (FULL HD)","","","Bir mourad rais, 16","il y a 3 jours","SOSETEL"
"Film LE JOUR OÚ LA TERRE S'ARRÊTA Blu-ray - En français","2 000","DA","Mahelma, 16","il y a 1 jour",""
"DELL 7390 2 IN 1","61 000","DA","Blida, 9","il y a 1 jour",""
"CABLE HDMI 2.0V 4k","","","Bir mourad rais, 16","il y a 3 jours","SOSETEL"
"IMPRIMANTE MATRICIELLE EPSON LX350","","","Bir mourad rais, 16","il y a 3 jours","SOSETEL"
"Ecran escamotable motorisé","","","Bir mourad rais, 16","il y a 3 jours","SOSETEL"
"IMPRIMANTE CANON PIXMA MP230","","","Bir mourad rais, 16","il y a 3 jours","SOSETEL"
"IMPRIMANTE SAMSUNG CLP 660ND","","","Bir mourad rais, 16","il y a 3 jours","SOSETEL"
"Amplificateur de mixage USB T-120BU","","","Bir mourad rais, 16","il y a 3 jours","SOSETEL"
"Amplificateur de mixage T-120AP","","","Bir mourad rais, 16","il y a 3 jours","SOSETEL"
"Ecran de projection motorisé (5M*4M)","","","Bir mourad rais, 16","il y a 3 jours","SOSETEL"
"Ecran de projection motorisé (4M*3M)","","","Bir mourad rais, 16","il y a 3 jours","SOSETEL"
"Ecran de projection motorisé (3M*3M)","","","Bir mourad rais, 16","il y a 3 jours","SOSETEL"
"Ecran de projection motorisé 2.1M*2.1M","","","Bir mourad rais, 16","il y a 3 jours","SOSETEL"
"Ecran de projection motorisé 2.5M*2.5M","","","Bir mourad rais, 16","il y a 3 jours","SOSETEL"
"Ecran de projection manuel 1.6M*1.6M","","","Bir mourad rais, 16","il y a 3 jours","SOSETEL"
