"Product Name","Location","Time","Store Name","Price","Unity","Delivery"
"LG GRAM 17Z90Q i7 1260P 32G DDR5 1T SSD 16"" 2K","Bab ezzouar, 16","il y a environ 13 heures","ShiftTech Informatique","135 000","DA","Livraison gratuite"
"Surface Book","Tiaret, 14","il y a environ 12 heures","","89 000","DA",""
"Asus I5 10 -ème 8 G 256 SSD","Setif, 19","il y a environ 12 heures","","60 000","DA",""
"HP EliteBook 860 G9 i7 1260P 32G 512 SSD 16"" Full HD+","Bab ezzouar, 16","il y a environ 13 heures","ShiftTech Informatique","128 000","DA","Livraison gratuite"
"Acer TravelMate P215 i5 11Th 8G 512SSD Tactile Full HD","Bab ezzouar, 16","il y a environ 13 heures","ShiftTech Informatique","85 000","DA","Livraison gratuite"
"Acer Aspire 3 i5 1135G7 8G 512 SSD 15.6"" Full HD","Bab ezzouar, 16","il y a environ 13 heures","ShiftTech Informatique","82 000","DA","Livraison gratuite"
"HP EliteBook 645 G9 Ryzen 5 5675U 16G 256 SSD 14"" Full HD","Bab ezzouar, 16","il y a environ 13 heures","ShiftTech Informatique","92 000","DA","Livraison gratuite"
"Lenovo Thinkpad P14s Gen2 i7 1165G7 16G 512 SSD Nvidia T500 14"" FHD","Bab ezzouar, 16","il y a environ 13 heures","ShiftTech Informatique","128 000","DA","Livraison gratuite"
"Onduleur 02 KVA","Mohammadia, 16","il y a environ 13 heures","MMC TECHNOLOGIE","","",""
"Reparation Onduleur & VENTE","Bir mourad rais, 16","il y a environ 13 heures","DAD ELECTRONICS","","",""
"Licences Microsoft (WINDOWS 10 / 11 , OFFICE 2019 / 2021 , WINDOWS SERVER 2019 /...","Dar el beida, 16","il y a environ 13 heures","A Z INNOTECH","1","DA",""
"CAMERA DE SURVEILLANCE","Dar el beida, 16","il y a environ 13 heures","GENERAL IT","","",""
"Baie de stockage HP p2000 +12  disque sas 2.4 to hpe","Ouled yaich, 9","il y a environ 13 heures","Blida Computer & newmob office","1 170 000","DA",""
"Onduleur 80 KVA","Mohammadia, 16","il y a environ 13 heures","MMC TECHNOLOGIE","","",""
"Samsung Galaxy book3 360 i 7-1360P 16-512 Tactile 360","El harrach, 16","il y a environ 14 heures","البصائر للإتصالات","148 000","DA",""
"HP DragonFly G4 - 2023","El harrach, 16","il y a environ 14 heures","البصائر للإتصالات","168 000","DA",""
