"Product Name","Price","Unity","Delivery","Location","Time","Store Name"
"DELL LATITUDE 5440 I5 12th 16GB 256GB SSD","80 000","DA","","Birkhadem, 16","il y a 1 jour","LAPFON"
"DELL LATITUDE 5440 I7 13th 16GB 256GB SSD 14 FHD","100 000","DA","","Birkhadem, 16","il y a 1 jour","LAPFON"
"DELL LATITUDE 5430 I5 12th 16GB 512GB SSD 14 FHD","85 000","DA","","Birkhadem, 16","il y a 1 jour","LAPFON"
"DELL LATITUDE 5430 I5 12th 16GB 256GB SSD 14 FHD","83 000","DA","","Birkhadem, 16","il y a 1 jour","LAPFON"
"DELL PRECISION 7680 I7 13eme 64gb/1000gb NVIDIA RTX 4090","435 000","DA","","Bab ezzouar, 16","il y a 1 jour","Eternel Store"
"Lenovo ideapad flex 5 i3 11eme 8gb 256ssd","72 000","DA","Paiement à la livraison","Hussein dey, 16","il y a 1 jour","bosscomputer"
"manaitte x box 1","10 800","DA","Paiement à la livraison","Ain naadja, 16","il y a 1 jour","Technoworld"
"Toshiba Satellite L50-B-17M","","","","El affroun, 9","il y a environ 16 heures",""
"Modem","3 500","DA","","Blida, 9","il y a environ 16 heures",""
"LENOVO IDEAPAD 5 RYZEN 7 5700U 512-08GB","89 000","DA","","Bab ezzouar, 16","il y a 1 jour","Informatique Store"
"Processeur Intel Core I5-13600K (USED)","56 000","DA","Livraison gratuite","Batna, 5","il y a 1 jour","NAZZA-TECH"
"Switch Cisco Catalyst 2960-X Manageable, 24 Ports Giga, PoE, 4 Ports SFP","","","","Bordj el kiffan, 16","il y a 1 jour","Home Tech Algeria"
"Switch Cisco Catalyst 2960-X Manageable, 48 Ports Giga, PoE, 4 Ports SFP","","","","Bordj el kiffan, 16","il y a 1 jour","Home Tech Algeria"
"Switch Cisco Catalyst 2960-X Manageable, 48 Ports Giga, 2 Ports SFP+ 10G, PoE","","","","Bordj el kiffan, 16","il y a 1 jour","Home Tech Algeria"
"Réparation des unites & laptop & imprimante","123","DA","","Ouled yaich, 9","il y a 1 jour","Blida Computer & newmob office"
"HP DL380 G6 CPU XEON  2X E5-5405 / RAM 4GB / PSU 2X 460WATTS  / HDD 2X 300GB  / ...","250 000","DA","Paiement à la livraison","Cheraga, 16","il y a 1 jour","SARL CH INFORMATIQUE"
