"Product Name","Price","Unity","Location","Time","Store Name"
"Système de Gestion Scolaire Complet","","","Oran, 31","il y a environ 5 heures",""
"HP PROBOOK 450 G10 I7 1355U","215 000","DA","Cheraga, 16","il y a environ 5 heures",""
"Switch Gigabit 24-ports PoE 2-ports SFP D-Link DGS-F1210-26PS-E","51 000","DA","Bejaia, 6","il y a environ 4 heures","Capmicrodz"
"Panneau de Brassage 24-ports 1U D-Link NPP-C62BLK241","13 500","DA","Bejaia, 6","il y a environ 4 heures","Capmicrodz"
"Console KVM","","","Mohammadia, 16","il y a environ 4 heures","iP Zone"
"Dérivation Planes vers large LEGRAND","","","Dar el beida, 16","il y a environ 4 heures","BROAD TECHNOLOGY"
"Solution gestion de Temps pointage","","","Alger centre, 16","il y a environ 4 heures","IT Med Solutions"
"Data show (projecteur) intelligent portable GTOP S30MAX","1","DA","Souk el thenine, 6","il y a environ 6 heures",""
"Cartouches HP Original","1","DA","Bab ezzouar, 16","il y a environ 6 heures",""
"SEPCIAL OFFRE VOTRE CAISSE ET LOGICIEL SUPERETTE PAS CHERE","129 000","DA","Dar el beida, 16","il y a environ 4 heures","FLY POS"
"D-Link ax1500 Répéteur Wi-Fi E15","10 000","DA","Kouba, 16","il y a environ 4 heures","Dream Sat   Kouba"
"générateur Eurom Independ 3100","171 000","DA","Cheraga, 16","il y a environ 4 heures","SARL CH INFORMATIQUE"
"CARTOUCHE RECHARGEABLE EPSON T6161 - T6164","10 000","DA","Bordj bou arreridj, 34","il y a environ 4 heures","CompuNerds"
"IMPRIMANTE CANON MF 752CDW LASER COULEUR","95 000","DA","Draria, 16","il y a environ 4 heures","DIGITAL WORLD TECHNOLOGY"
"Toner hp 64x","","","Bachdjerrah, 16","il y a environ 6 heures",""
"Modem D-Link DSL G2452DG 1200AC","8 500","DA","Les eucalyptus, 16","il y a environ 7 heures",""
"D-LINK SWITCH 24-port","33 800","DA","Ouled yaich, 9","il y a environ 4 heures","Blida Computer & newmob office"
"Adobe","","","Dar el beida, 16","il y a environ 4 heures","SoftwareBusiness"
"CLAVIER USB LOGITECH K120 AZERTY","2 350","DA","Blida, 9","il y a environ 4 heures","MacWay Informatique"
"SanDisk 128 Go Ultra Dual Drive m3.0 pour appareils Android  - microUSB, USB 3.0","2 500","DA","Hussein dey, 16","il y a environ 4 heures","ADMIN Informatique"
"ASUS PRIME A520M-K Micro ATX Socket AM4 AMD - 2x DDR4 - M.2 PCIe NVMe - USB 3.0","17 500","DA","Hussein dey, 16","il y a environ 4 heures","ADMIN Informatique"
"PC HUB 8 in1","6 800","DA","Constantine, 25","il y a environ 7 heures",""
"gestion scolaire","25 000","DA","Kouba, 16","il y a environ 7 heures",""
"Imprimante L 3210 Epson Ecotank L3210","30 500","DA","Ain naadja, 16","il y a environ 4 heures","sarl vitsys"
"imprimante G 3430 canon  pixma G3430 wifi","37 000","DA","Ain naadja, 16","il y a environ 5 heures","sarl vitsys"
"CARTE MERE ASUS B550MK","24 500","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"CARTE MERE Z790 AORUS ELITE AX ICE","77 000","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"CARTE MERE GIGABYTE AORUS Z790 PRO X WHITE","95 000","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"CARTE MERE MSI Z790 PROJECT ZERO","65 800","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"CARTE MERE B760M PROJECT ZERO","47 200","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"CARTE MERE B760M GAMING PLUS WIFI","38 500","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"CARTE MERE GIGABYTE H610M H V3","1","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"CARTE MERE GIGABYTE H610M K","1","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"CARTE MERE B650 PLUS ASUS PRIME","1","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"CARTE MERE A520M-K ASUS PRIME","1","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"CARTE MERE A620M-K ASUS PRIME","1","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"CARTE MERE MSI B650 GAMING PLUS WIFI","43 000","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"AMD ryzen 5 5600","21 000","DA","Batna, 5","il y a environ 7 heures",""
"Carte Graphique Gainward RTX3070Ti Phoenix 8GB","111 500","DA","Ouled fayet, 16","il y a environ 7 heures",""
"CARTE MERE MSI PRO B650M P","31 600","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"CARTE MÈRE MSI MAG B760 TOMAHAWK WIFI","53 000","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"CARTE MERE MSI B450M PRO VDH","19 500","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
"CARTE MERE MSI B760M-P DDR5","31 000","DA","Batna, 5","il y a environ 5 heures","MBA INFO"
