"Product Name","Location","Time","Store Name","Price","Unity"
"Dell Latitude 5440","Oued smar, 16","il y a 3 jours","Hamza Electronique","110 000","DA"
"Latitude 5420 / i7-1165G7 / 512Go / 16Go / Intel Iris Xe Graphics","Oued smar, 16","il y a 3 jours","Hamza Electronique","80 000","DA"
"Latitude 5431 / vPro i5-1250P / 512Go/ 16Go / NVIDIA MX550 2 GB GDDR6","Oued smar, 16","il y a 3 jours","Hamza Electronique","150 000","DA"
"Promotion MICRO LENOVO V330 ALLINONE INTEL I3 8EME /4GO DDR4//1000GB HDD DVD RW/...","Bab ezzouar, 16","il y a 1 jour","","650","DA"
"PC GAMER","Draria, 16","il y a 1 jour","","46 000","DA"
"Dell précision 7750/ I7 10850H/ 32Go/ SSD 512Go Nvme/ RTX 3000 6Go","Oued smar, 16","il y a 3 jours","Hamza Electronique","175 000","DA"
"HP Pro X2 612 G3 M3 7Y30 8GB 128 SSD 12.5"" FHD Tactile Détachable","Bab ezzouar, 16","il y a 3 jours","ShiftTech Informatique","46 000","DA"
"Dell Precision 5570 / i7-12800H/ 32 GB/ 1To SSD / RTX A1000 4 GB","Oued smar, 16","il y a 3 jours","Hamza Electronique","185 000","DA"
"Latitude 7320 Detachable","Oued smar, 16","il y a 3 jours","Hamza Electronique","95 000","DA"
"CARTE MERE TUF GAMING Z790-PLUS WIFI DDR4","Alger centre, 16","il y a 3 jours","WELTINFO","67 900","DA"
"5 date Shaw","Sidi bel abbes, 22","il y a 1 jour","","",""
"DELL LATITUDE 7420 I7-1165g7 16GB 256GB NVME","Bordj ghedir, 34","il y a 1 jour","","72 000","DA"
"DISQUE DUR SATA 3.5   2TB","Alger centre, 16","il y a 3 jours","WELTINFO","9 500","DA"
"DISQUE DUR SATA 3.5   3TB","Alger centre, 16","il y a 3 jours","WELTINFO","12 900","DA"
"ASUS GEFORCE RTX 2070 SUPER DUAL-RTX2070S-O8G-EVO OCCASION","Alger centre, 16","il y a 3 jours","WELTINFO","69 500","DA"
"Lenovo IdeaPad 320 i5 7200U 8G 256 SSD 15.6"" FHD Nvidia 920 2G","Bab ezzouar, 16","il y a 3 jours","ShiftTech Informatique","54 000","DA"
"MACBOOK AIR M1 2020 cycle 3","El harrach, 16","il y a 3 jours","merwa store","119 000","DA"
"Vente Lenovo Thinkpad x250 - i3 5eme gen","Bejaia, 6","il y a 1 jour","","36 000","DA"
"Vente Lenovo Thinkpad x240 - i3 4eme gen","Bejaia, 6","il y a 1 jour","","36 000","DA"
"EPSON 603 XL black INKWELL CARTOUCHE ENCRE Compatible XP-2155","Kouba, 16","il y a 3 jours","IT DEVICE","1 000","DA"
"DISQUE DUR HDD INTERNE 3.5"" 500GB SATA WD/SEAGATE/HITACHI","Alger centre, 16","il y a 3 jours","WELTINFO","3 200","DA"
"HP ProBook 450 G6 i7 8565U 16G 512 SSD 15.6"" Full HD","Bab ezzouar, 16","il y a 3 jours","ShiftTech Informatique","78 000","DA"
"HP ELITEBOOK 840 G8 - I5 1145G7 - @2.60GHz - 256GB SSD - 16GB RAM","Alger centre, 16","il y a 3 jours","MEZA LAP","81 000","DA"
"Wall switch Ajax 220v","Bounoura, 47","il y a 3 jours","ComTelNet","9 500","DA"
"Ventilateur  230 V  45W","Rouiba, 16","il y a 3 jours","ONDULEUR SERVICE ALGERIE","",""
"CISCO SFP 10G/8G/6G/1G SM-SR-FET-GLC-T","Alger centre, 16","il y a 3 jours","ETET Technologie","",""
"DELL Precision 5570 Workstation i7-12700H 32G/1T/ RTX A2000 8G GDDR6","Bab ezzouar, 16","il y a 3 jours","Laptops Store","195 000","DA"
"DELL INSPIRON 14 PLUS - i7 13620H - RTX 4050 6GB - 1024GB SSD NVME - 16GB RAM","Alger centre, 16","il y a 3 jours","MEZA LAP","239 000","DA"
