"Product Name","Price","Unity","Location","Time","Store Name"
"Toner A3 VIDE HP Original","1","DA","Bab ezzouar, 16","il y a environ 5 heures",""
"Microsoft Surface Laptop Go 2 i5 1135G7 8G 256 SSD 12.4"" FHD+ Tactile","82 000","DA","Bab ezzouar, 16","il y a environ 5 heures","ShiftTech Informatique"
"Acer Aspire 3 AMD 3020e 4G 128 SSD 14"" HD","32 000","DA","Bab ezzouar, 16","il y a environ 5 heures","ShiftTech Informatique"
"HP Envy 13 2in1 i5 1230U 16G 512 SSD 13.3"" FHD+ X360 Tactile","107 000","DA","Bab ezzouar, 16","il y a environ 5 heures","ShiftTech Informatique"
"Lenovo Thinkpad T470 i7 7600U 16G 256 SSD 14"" Full HD","68 000","DA","Bab ezzouar, 16","il y a environ 5 heures","ShiftTech Informatique"
"Dell Latitude 5430 i5 1245U 16G 512 SSD 14"" Full HD","93 000","DA","Bab ezzouar, 16","il y a environ 5 heures","ShiftTech Informatique"
"Lenovo ThinkCentre M910q G4400T 6eme gen","14 000","DA","Constantine, 25","il y a environ 5 heures",""
"Kyocera 1800","60 000","DA","Kouba, 16","il y a environ 5 heures",""
"Dell Latitude 3420 i5 1135G7 16G 256 SSD 14"" Full HD","82 000","DA","Bab ezzouar, 16","il y a environ 5 heures","ShiftTech Informatique"
"Dell Precision 7560 i7 11850H Gén 32G 512SSD RTX A2000 4G","218 000","DA","Bab ezzouar, 16","il y a environ 5 heures","ShiftTech Informatique"
"Asus VivoBook X415 i5 1135G7 8G 256 SSD Nvme 14"" Full HD","79 000","DA","Bab ezzouar, 16","il y a environ 5 heures","ShiftTech Informatique"
"Maintenance Termiaux Mobile & PDA","","","Birkhadem, 16","il y a environ 5 heures","Code Barre Center"
"MICROSOFT SURFACE LAPTOP STUDIO I7 11th 32GB 2TB SSD 4K TACTILE","275 000","DA","Bab ezzouar, 16","il y a environ 5 heures","TRETEC"
"COMBO KIT I7 4790K + Z97 GAMING 7 + 20 GB RAM","27 000","DA","Draria, 16","il y a environ 5 heures",""
"Alimentation NZXT C850 Gold","21 000","DA","Tlemcen, 13","il y a environ 5 heures",""
"GAMING ASUS TUF F15 - 144HZ - RTX 3050 TI - I7 12650H - 512GB SSD - 16GB RAM","199 000","DA","Alger centre, 16","il y a environ 5 heures","MEZA LAP"
"Cable de sécurité laptop Targus ASP48EU","4 800","DA","Said hamdine, 16","il y a environ 5 heures","Activline"
"ASUS ZENBOOK PRO I9 13900H NVIDIA RTX 4060 32GB RAM DDR5 1TB SSD","295 000","DA","Bab ezzouar, 16","il y a environ 5 heures","PC CABA DZ"
"DELL LATITUDE 7430 I5-1235U/16G/256SSD/14""/WIN11","90 000","DA","Kouba, 16","il y a environ 5 heures","EL ASSIL LAPTOP"
"LENOVO IDEAPAD S145, i5-1035G4, 8GB, 1TB HDD, intel iRis Plus","61 000","DA","Hussein dey, 16","il y a environ 5 heures","Azur Laptop"
"Logiciel auto ecole","10 000","DA","Tazmaltdaira, 6","il y a environ 5 heures",""
"Macbook pro touch bar","100 000","DA","Ain temouchent, 46","il y a environ 5 heures",""
"MICROSOFT SURFACE PRO 7, Intel Core i5-1035G4, 8GB, 256GB SSD, intel iRis Plus","83 000","DA","Hussein dey, 16","il y a environ 5 heures","Azur Laptop"
"ACER NITRO 5, i7-11800H, 16GB, 1500GB SSD nVme, RTX3050Ti 4GB, 15"" FHD 144Hz, AV...","184 000","DA","Hussein dey, 16","il y a environ 5 heures","Azur Laptop"
"MSI GE66 Raider 11UH 4K OLED, Intel Core i7-11800H, 16GB, 1TB SSD, RTX3080 8GB","263 000","DA","Hussein dey, 16","il y a environ 5 heures","Azur Laptop"
"LENOVO THINKPAD X13, i7-1185G7, 16GB, 256GB SSD, IRIS XE","100 000","DA","Hussein dey, 16","il y a environ 5 heures","Azur Laptop"
"HP PROBOOK 640 G8, i5-1135G7, 8GB, 1TB SSD, iRis Xe","70 000","DA","Hussein dey, 16","il y a environ 5 heures","Azur Laptop"
"HP OMEN 16 2023 I7 13th 32GB 1TB SSD RTX 4060 FHD 16""","295 000","DA","Bab ezzouar, 16","il y a environ 5 heures","TRETEC"
"HP ELITBOOK 840 G5","55 000","DA","Bab ezzouar, 16","il y a environ 5 heures","Auvigha Tech"
"Dell Latitude 5430 I5-1245U 16Gb 256Gb SSD","90 000","DA","El harrach, 16","il y a environ 5 heures","Spacex Technologie"
"HP ELITEBOOK 830 G6 - I5 8350U - 256GB SSD NVME - 8GB RAM","55 000","DA","Alger centre, 16","il y a environ 5 heures","MEZA LAP"
"Hp ProBook 640 G2 i5 6th generation","40 000","DA","Blida, 9","il y a environ 5 heures","Perfect Computer Solution"
"LENOVO THINKBOOK 15 G4, i7-1255U, 16GB, 512GB SSD, 15"" FHD","133 000","DA","Hussein dey, 16","il y a environ 5 heures","Azur Laptop"
"ACER PREDATOR TIRITION 500 SE I7 11800H NVIDIA RTX 3080 32GB RAM 2TB SSD ECRAN W...","245 000","DA","Bab ezzouar, 16","il y a environ 5 heures","PC CABA DZ"
"ONDULEURS ET STABILISATEURS Icon","","","Oran, 31","il y a environ 5 heures","computime"
"Lenovo Thinkpad L13 Gen 4 i7-1355U 16 Go 512 SSD NVme Intel Iris Xe Graphics","128 000","DA","Bab ezzouar, 16","il y a environ 5 heures","Spacex Technologie"
"Logitech Quickcam pro 9000","3 600","DA","Djelida, 44","il y a environ 5 heures",""
"Hp zbook mobile workstation 15.6 i7 9th 48gb","10","DA","Bab ezzouar, 16","il y a environ 5 heures",""
"Certification des prises réseau Rj45 cable Cuivre Catégories 5e, 6, 6A avec Fluk...","1","DA","Douera, 16","il y a environ 5 heures","2S Provider"
"Serveur IBM 7946 CTO","49 900","DA","Cheraga, 16","il y a environ 5 heures","SARL CH INFORMATIQUE"
"HP DL380 G7 CPU XEON  2X E5-5640 / RAM 12GB / PSU 2X 750WATTS / HDD 2X 300GB 2X ...","300 000","DA","Cheraga, 16","il y a environ 5 heures","SARL CH INFORMATIQUE"
"DELL Optiplex 3020 I5 4eme , 8GB , 256/512 SSD","29 500","DA","Baba hassen, 16","il y a environ 5 heures","ITSEVEN INFORMATIQUE"
"DELL Optiplex 3020 I3 4eme , 8GB , 256/512 SSD","26 500","DA","Baba hassen, 16","il y a environ 5 heures","ITSEVEN INFORMATIQUE"
"SAMSUNG GALAXY BOOK 2 PRO I7 12th 16GB 512GB SSD FHD 15""","135 000","DA","Bab ezzouar, 16","il y a environ 6 heures","TRETEC"
"ACER ASPIRE 5 I5 10th 8GB 256GB SSD FHD MX 250 15""","72 000","DA","Bab ezzouar, 16","il y a environ 6 heures","TRETEC"
"HUAWEI MateBook 14 KLVD WXX9 I7 11th 16GB 512GB 14"" TACTILE 2K","95 000","DA","Bab ezzouar, 16","il y a environ 6 heures","TRETEC"
"NEC LAVIE NEXTREME CARBON  I7 12th 16GB 256GB SSD FHD 14""","85 000","DA","Bab ezzouar, 16","il y a environ 6 heures","TRETEC"
"TOSHIBA DYNABOOK PORTEGE X40-J I7 11th 16GB 512GB SSD FHD TACTILE","82 000","DA","Bab ezzouar, 16","il y a environ 6 heures","TRETEC"
"LENOVO THINKPAD T480s I5 8th 8GB 256GB SSD 14"" FULL HD","53 000","DA","Bab ezzouar, 16","il y a environ 6 heures","TRETEC"
"LENOVO THINKPAD L13 YOGA I7 11th 16GB 512GB SSD FHD 13"" TACTILE 360","98 000","DA","Bab ezzouar, 16","il y a environ 6 heures","TRETEC"
"LENOVO ThinkPad X13 GNE  RYZEN 3 PRO 8 GB 256 GB FHD","54 000","DA","Bab ezzouar, 16","il y a environ 6 heures","TRETEC"
"LENOVO THINKPAD X240 I5 4th 8 GB 256 GB SSD FHD 12""","32 000","DA","Bab ezzouar, 16","il y a environ 6 heures","TRETEC"
"LENOVO IDEAPAD V15 I7 1065G7 10th 8GB 512GB SSD FHD 15""","69 000","DA","Bab ezzouar, 16","il y a environ 6 heures","TRETEC"
"LENOVO THINKPAD X1 CARBON I7 10th 16GB 256GB SSD FHD 14""","89 000","DA","Bab ezzouar, 16","il y a environ 6 heures","TRETEC"
"LENOVO ThinkPad X13 YOGA I7 10th 16 GB 512 GB FHD TACTILE 360","88 000","DA","Bab ezzouar, 16","il y a environ 6 heures","TRETEC"
"LENOVO THINKPAD L13 I5 10th 8GB 256GB SSD FHD 13""","67 000","DA","Bab ezzouar, 16","il y a environ 6 heures","TRETEC"
"Imprimente Lazer toner","40 000","DA","Akbou, 6","il y a environ 6 heures",""
"Asus x53s i3 6gb ram ssd","26 000","DA","Oran, 31","il y a environ 6 heures",""
"LENOVO IDEAPAD V15 I5 11th 8GB 256GB SSD FHD 15""","68 000","DA","Bab ezzouar, 16","il y a environ 6 heures","TRETEC"
"LENOVO THINKPAD X1 CARBON I7 10th 16GB 512GB SSD FHD 14""","92 000","DA","Bab ezzouar, 16","il y a environ 6 heures","TRETEC"
"LENOVO THINKPAD L13 I5 11th 16GB 256GB SSD FHD 13""","75 000","DA","Bab ezzouar, 16","il y a environ 6 heures","TRETEC"
"LENOVO ThinkPad X13 YOGA I5 10th 8 GB 256 GB FHD TACTILE 360","72 000","DA","Bab ezzouar, 16","il y a environ 6 heures","TRETEC"
"LENOVO THINKPAD L13 I5 10th 8 GB 256 GB SSD FHD 13""","65 000","DA","Bab ezzouar, 16","il y a environ 6 heures","TRETEC"
"DELL LATITUDE 9430 I5 12th 16GB 256 GB SSD FHD 14""","115 000","DA","Bab ezzouar, 16","il y a environ 7 heures","TRETEC"
"Smart PC tactile","1","DA","Bordj bou arreridj, 34","il y a environ 6 heures",""
"LAP TOP ASUSS X 751 L. Series","27 000","DA","Baraki, 16","il y a environ 6 heures",""
"DELL LATITUDE 9430 I5 12th 16GB 256 GB SSD FHD 14""","115 000","DA","Bab ezzouar, 16","il y a environ 7 heures","TRETEC"
"DELL LATITUDE 5430 I7 12th 16GB 256GB SSD FHD 14""","102 000","DA","Bab ezzouar, 16","il y a environ 7 heures","TRETEC"
"DELL LATITUDE 5420 I5 11th 16GB 256GB SSD FHD 14"" TACTILE","78 000","DA","Bab ezzouar, 16","il y a environ 7 heures","TRETEC"
"DELL LATITUDE 5430 I5 12th 8 GB 256 GB SSD FHD 14","85 000","DA","Bab ezzouar, 16","il y a environ 7 heures","TRETEC"
"DELL LATITUDE 5330 I5 12th 16GB 256GB SSD FHD 13","82 000","DA","Bab ezzouar, 16","il y a environ 7 heures","TRETEC"
"DELL LATITUDE 5320 I7 11th 16GB 256GB SSD FHD 13""","82 000","DA","Bab ezzouar, 16","il y a environ 7 heures","TRETEC"
"DELL LATITUDE 5490 I7 8th 8GB 256GB SSD FHD 14""","65 000","DA","Bab ezzouar, 16","il y a environ 7 heures","TRETEC"
"Pointeuse digitale et systeme de pointage Pro.","","","Bir mourad rais, 16","il y a environ 7 heures","Pointeuse Intelligente Biometrique SII"
"DELL LATITUDE 5320 I5 11th 16GB 512GB SSD FHD 13""","75 000","DA","Bab ezzouar, 16","il y a environ 7 heures","TRETEC"
"MSI GL75 I7 9750H NVIDIA GTX 1660TI 16GB RAM 512GB SSD","145 000","DA","Bab ezzouar, 16","il y a environ 7 heures","PC CABA DZ"
"DELL LATITUDE 5410 I5 10th  16 GB 256 GB SSD 14"" FHD","65 000","DA","Bab ezzouar, 16","il y a environ 7 heures","TRETEC"
"DELL LATITUDE 5310 I5 10th 8 GB 256 GB SSD FHD 13.3""","55 000","DA","Bab ezzouar, 16","il y a environ 7 heures","TRETEC"
"DELL LATITUDE 3420 I5 11th 8 GB 256 GB SSD FHD 14""","72 000","DA","Bab ezzouar, 16","il y a environ 7 heures","TRETEC"
"DELL LATITUDE 5430 I5 12th 16GB 256GB SSD FHD 14""","89 000","DA","Bab ezzouar, 16","il y a environ 7 heures","TRETEC"
"NVIDIA GEFORCE gt 320 1G","3 600","DA","Djelida, 44","il y a environ 6 heures",""
"Disque dur","2 000","DA","Khenchela, 40","il y a environ 6 heures",""
"DELL LATITUDE 5430 I5 12th 16GB 512GB SSD FHD","89 000","DA","Bab ezzouar, 16","il y a environ 7 heures","TRETEC"
"HP 15 I5 13TH 8GB 256SSD 15.6""","115 000","DA","Bab ezzouar, 16","il y a environ 7 heures","DEYSTORE"
"DELL LATITUDE 7330 I7 12th 16GB 512GB SSD FHD 13""","105 000","DA","Bab ezzouar, 16","il y a environ 7 heures","TRETEC"
"DELL LATITUDE 7320 I7 11th 16GB 512GB SSD FHD 13""","89 000","DA","Bab ezzouar, 16","il y a environ 7 heures","TRETEC"
"office 356 pro plus 5 mac IOS / pc","2 700","DA","Cheraga, 16","il y a environ 7 heures","Keyshop"
"Ipad pro 6 M2 128G wifi cellulaire état comme neuf prix affaire","192 000","DA","Beni messous, 16","il y a environ 6 heures",""
"onduleurs pc","","","Bordj el kiffan, 16","il y a environ 6 heures",""
"DELL LATITUDE 5320 I5 11th 16GB 512GB SSD FHD 13""","72 000","DA","Bab ezzouar, 16","il y a environ 7 heures","TRETEC"
"DELL LATITUDE 5430 I7 12th 16GB 512GB SSD FHD 14""","109 000","DA","Bab ezzouar, 16","il y a environ 7 heures","TRETEC"
"DELL LATITUDE 5520 I5 11th 16GB 512GB SSD FHD 15""","85 000","DA","Bab ezzouar, 16","il y a environ 7 heures","TRETEC"
"Compteuse de billet","27 000","DA","Khemis el khechna, 35","il y a environ 7 heures","apexoffice35"
"PAVIE NUMERIQUE  AFFICHEUR","11 500","DA","Bab ezzouar, 16","il y a environ 7 heures","IB SOFT"
"Canon 250d","1","DA","Batna, 5","il y a environ 7 heures",""
